,datetime,power
312,2020-01-07 12:00:00,910.26
313,2020-01-07 12:30:00,829.0635
314,2020-01-07 13:00:00,747.867
315,2020-01-07 13:30:00,564.854
316,2020-01-07 14:00:00,381.841
317,2020-01-07 14:30:00,231.699
318,2020-01-07 15:00:00,81.557
319,2020-01-07 15:30:00,40.7785
320,2020-01-07 16:00:00,0.0
321,2020-01-07 16:30:00,0.0
322,2020-01-07 17:00:00,0.0
323,2020-01-07 17:30:00,0.0
324,2020-01-07 18:00:00,0.0
325,2020-01-07 18:30:00,0.0
326,2020-01-07 19:00:00,0.0
327,2020-01-07 19:30:00,0.0
328,2020-01-07 20:00:00,0.0
329,2020-01-07 20:30:00,0.0
330,2020-01-07 21:00:00,0.0
331,2020-01-07 21:30:00,0.0
332,2020-01-07 22:00:00,0.0
333,2020-01-07 22:30:00,0.0
334,2020-01-07 23:00:00,0.0
335,2020-01-07 23:30:00,0.0
336,2020-01-08 00:00:00,0.0
337,2020-01-08 00:30:00,0.0
338,2020-01-08 01:00:00,0.0
339,2020-01-08 01:30:00,0.0
340,2020-01-08 02:00:00,0.0
341,2020-01-08 02:30:00,0.0
342,2020-01-08 03:00:00,0.0
343,2020-01-08 03:30:00,0.0
344,2020-01-08 04:00:00,0.0
345,2020-01-08 04:30:00,0.0
346,2020-01-08 05:00:00,0.0
347,2020-01-08 05:30:00,0.0
348,2020-01-08 06:00:00,0.0
349,2020-01-08 06:30:00,10.3985
350,2020-01-08 07:00:00,20.797
351,2020-01-08 07:30:00,94.5775
352,2020-01-08 08:00:00,168.358
353,2020-01-08 08:30:00,245.6175
354,2020-01-08 09:00:00,322.877
355,2020-01-08 09:30:00,377.94
356,2020-01-08 10:00:00,433.003
357,2020-01-08 10:30:00,457.621
358,2020-01-08 11:00:00,482.239
359,2020-01-08 11:30:00,470.2815
360,2020-01-08 12:00:00,458.324
361,2020-01-08 12:30:00,417.6465
362,2020-01-08 13:00:00,376.969
363,2020-01-08 13:30:00,308.6105
364,2020-01-08 14:00:00,240.252
365,2020-01-08 14:30:00,173.1005
366,2020-01-08 15:00:00,105.949
367,2020-01-08 15:30:00,52.9745
368,2020-01-08 16:00:00,0.0
369,2020-01-08 16:30:00,0.0
370,2020-01-08 17:00:00,0.0
371,2020-01-08 17:30:00,0.0
372,2020-01-08 18:00:00,0.0
373,2020-01-08 18:30:00,0.0
374,2020-01-08 19:00:00,0.0
375,2020-01-08 19:30:00,0.0
376,2020-01-08 20:00:00,0.0
377,2020-01-08 20:30:00,0.0
378,2020-01-08 21:00:00,0.0
379,2020-01-08 21:30:00,0.0
380,2020-01-08 22:00:00,0.0
381,2020-01-08 22:30:00,0.0
382,2020-01-08 23:00:00,0.0
383,2020-01-08 23:30:00,0.0
384,2020-01-09 00:00:00,0.0
385,2020-01-09 00:30:00,0.0
386,2020-01-09 01:00:00,0.0
387,2020-01-09 01:30:00,0.0
388,2020-01-09 02:00:00,0.0
389,2020-01-09 02:30:00,0.0
390,2020-01-09 03:00:00,0.0
391,2020-01-09 03:30:00,0.0
392,2020-01-09 04:00:00,0.0
393,2020-01-09 04:30:00,0.0
394,2020-01-09 05:00:00,0.0
395,2020-01-09 05:30:00,0.0
396,2020-01-09 06:00:00,0.0
397,2020-01-09 06:30:00,40.9415
398,2020-01-09 07:00:00,81.883
399,2020-01-09 07:30:00,381.9385
400,2020-01-09 08:00:00,681.9939999999999
401,2020-01-09 08:30:00,856.7715
402,2020-01-09 09:00:00,1031.549
403,2020-01-09 09:30:00,1324.0395
404,2020-01-09 10:00:00,1616.53
405,2020-01-09 10:30:00,1289.41
406,2020-01-09 11:00:00,962.29
407,2020-01-09 11:30:00,1515.0510000000002
408,2020-01-09 12:00:00,2067.812
409,2020-01-09 12:30:00,1485.6075
410,2020-01-09 13:00:00,903.403
411,2020-01-09 13:30:00,1097.9805
412,2020-01-09 14:00:00,1292.558
413,2020-01-09 14:30:00,881.4645
414,2020-01-09 15:00:00,470.371
415,2020-01-09 15:30:00,242.08900000000003
416,2020-01-09 16:00:00,13.807
417,2020-01-09 16:30:00,6.9035
418,2020-01-09 17:00:00,0.0
419,2020-01-09 17:30:00,0.0
420,2020-01-09 18:00:00,0.0
421,2020-01-09 18:30:00,0.0
422,2020-01-09 19:00:00,0.0
423,2020-01-09 19:30:00,0.0
424,2020-01-09 20:00:00,0.0
425,2020-01-09 20:30:00,0.0
426,2020-01-09 21:00:00,0.0
427,2020-01-09 21:30:00,0.0
428,2020-01-09 22:00:00,0.0
429,2020-01-09 22:30:00,0.0
430,2020-01-09 23:00:00,0.0
431,2020-01-09 23:30:00,0.0
432,2020-01-10 00:00:00,0.0
433,2020-01-10 00:30:00,0.0
434,2020-01-10 01:00:00,0.0
435,2020-01-10 01:30:00,0.0
436,2020-01-10 02:00:00,0.0
437,2020-01-10 02:30:00,0.0
438,2020-01-10 03:00:00,0.0
439,2020-01-10 03:30:00,0.0
440,2020-01-10 04:00:00,0.0
441,2020-01-10 04:30:00,0.0
442,2020-01-10 05:00:00,0.0
443,2020-01-10 05:30:00,0.0
444,2020-01-10 06:00:00,0.0
445,2020-01-10 06:30:00,75.0885
446,2020-01-10 07:00:00,150.17700000000002
447,2020-01-10 07:30:00,532.7090000000001
448,2020-01-10 08:00:00,915.241
449,2020-01-10 08:30:00,1258.3055
450,2020-01-10 09:00:00,1601.37
451,2020-01-10 09:30:00,1901.863
452,2020-01-10 10:00:00,2202.356
453,2020-01-10 10:30:00,2299.2485
454,2020-01-10 11:00:00,2396.141
455,2020-01-10 11:30:00,2146.5295
456,2020-01-10 12:00:00,1896.918
457,2020-01-10 12:30:00,1318.6285
458,2020-01-10 13:00:00,740.3389999999999
459,2020-01-10 13:30:00,778.0239999999999
460,2020-01-10 14:00:00,815.709
461,2020-01-10 14:30:00,617.8575
462,2020-01-10 15:00:00,420.006
463,2020-01-10 15:30:00,217.1875
464,2020-01-10 16:00:00,14.369000000000002
465,2020-01-10 16:30:00,7.1845
466,2020-01-10 17:00:00,0.0
467,2020-01-10 17:30:00,0.0
468,2020-01-10 18:00:00,0.0
469,2020-01-10 18:30:00,0.0
470,2020-01-10 19:00:00,0.0
471,2020-01-10 19:30:00,0.0
472,2020-01-10 20:00:00,0.0
473,2020-01-10 20:30:00,0.0
474,2020-01-10 21:00:00,0.0
475,2020-01-10 21:30:00,0.0
476,2020-01-10 22:00:00,0.0
477,2020-01-10 22:30:00,0.0
478,2020-01-10 23:00:00,0.0
479,2020-01-10 23:30:00,0.0
480,2020-01-11 00:00:00,0.0
